R,G,B
254,181,0
255,182,0
255,182,0
254,183,3
255,184,4
255,184,4
255,186,3
254,188,4
254,189,3
255,190,4
254,191,2
253,193,1
254,194,2
253,194,2
254,195,3
254,197,2
254,197,2
253,199,3
253,199,3
254,200,4
254,200,3
253,201,3
254,202,4
253,204,3
253,205,1
253,206,2
253,206,2
253,206,2
254,207,3
254,208,1
254,208,1
254,209,2
254,209,2
254,210,1
255,211,2
254,212,4
254,212,3
254,212,3
254,212,3
254,214,4
254,214,4
254,214,2
254,214,2
253,216,3
255,215,3
255,215,3
254,214,2
252,215,4
250,216,4
247,216,3
246,217,3
241,217,3
240,216,2
237,218,2
234,217,3
231,218,2
228,217,3
226,217,2
224,217,4
223,217,1
221,216,2
217,216,1
213,216,1
210,216,2
206,217,3
203,216,4
202,216,5
195,216,0
193,217,1
190,215,0
185,214,0
181,214,0
177,213,0
173,212,0
172,212,1
164,212,4
163,211,3
160,209,3
156,209,3
153,208,3
146,208,3
143,208,4
140,207,3
134,205,3
132,205,2
130,204,3
125,203,3
120,202,3
115,202,2
112,200,2
109,200,1
101,199,2
101,198,3
96,198,1
91,197,1
88,195,1
83,194,1
79,194,2
78,193,2
68,193,1
67,194,3
63,192,1
60,191,1
56,191,3
53,189,3
48,188,1
48,188,3
42,186,3
41,186,3
38,186,4
35,185,2
30,184,2
26,184,3
24,183,3
23,182,2
19,180,2
19,180,4
17,180,3
15,179,4
11,178,3
9,177,4
6,177,3
5,176,2
4,176,6
4,176,6
3,175,5
3,175,5
3,174,7
3,174,8
3,174,10
3,173,12
3,173,14
3,173,14
3,173,15
3,172,19
3,171,22
2,172,24
2,171,26
2,171,28
2,170,31
3,171,34
3,171,36
1,171,39
2,171,44
2,170,48
2,170,49
2,171,52
2,171,56
2,170,57
2,170,61
3,170,65
3,169,69
1,169,73
2,170,75
2,169,77
2,169,79
2,169,81
3,169,85
2,169,89
2,168,92
2,168,94
3,169,95
2,170,95
0,169,100
0,169,102
0,170,104
0,169,106
0,170,108
0,169,112
0,171,115
0,171,115
1,169,120
1,168,122
1,168,124
1,168,125
2,168,128
0,169,130
0,168,132
0,168,133
0,167,137
0,167,139
0,167,141
0,166,142
1,167,145
1,167,147
1,166,149
1,166,150
0,166,154
0,166,154
0,166,156
0,165,158
0,165,159
0,165,161
1,165,164
1,165,164
2,164,166
2,164,167
2,164,167
2,163,171
2,163,173
2,162,174
2,162,174
2,162,176
1,160,179
1,160,181
1,160,181
1,160,182
1,159,186
1,159,188
1,159,188
1,158,189
0,157,190
2,156,190
2,156,192
2,156,194
2,155,197
2,153,198
2,153,200
2,152,202
2,152,203
1,151,202
1,151,204
0,149,207
2,148,208
1,146,209
1,146,211
1,146,213
1,142,214
1,141,216
0,140,217
1,138,218
0,137,218
1,135,222
0,134,223
0,134,223
2,132,226
2,132,228
2,130,229
1,129,230
2,127,233
1,126,234
2,124,235
2,124,235
1,121,234
1,121,234
1,120,236
2,118,237
1,117,238
2,116,240
1,115,240
2,114,240
2,110,244
2,110,244
2,108,243
3,106,243
2,105,244
2,103,245
2,101,244
2,101,246
2,98,245
1,97,246
2,96,246
1,94,247
2,92,250
2,90,250
2,88,249
2,88,251
4,87,255
3,86,254
2,84,254
2,82,253
3,80,254
3,78,255
2,77,255
3,76,255
1,76,253
2,76,253
1,75,252
2,73,253
2,71,252
4,70,254
3,69,253
4,68,253
1,66,252
1,66,254
1,64,253
1,64,253
2,62,254
1,61,255
0,60,254
1,59,254
1,58,253
1,58,253
2,56,252
3,55,252
5,53,251
5,51,250
7,50,250
7,50,250
9,47,254
10,46,254
11,45,254
13,43,251
16,42,251
18,40,248
21,38,248
22,38,248
22,37,244
21,36,241
23,36,239
26,35,238
27,32,235
29,32,233
30,32,231
31,30,230
31,29,226
32,29,224
34,28,224
37,27,222
38,26,220
40,24,218
41,24,218
43,23,218
43,24,214
44,23,212
46,21,211
49,20,209
51,19,208
53,18,206
52,17,205
52,17,205
55,17,201
55,17,201
56,16,201
56,14,199
58,14,197
59,13,197
61,13,197
61,13,195
65,7,190
66,6,190
66,6,189
67,6,189
67,6,187
69,5,187
68,5,184
68,5,184
67,9,182
72,8,183
70,6,181
71,9,182
72,5,180
77,3,178
75,7,180
58,2,171
252,90,88
253,1,0
250,2,0
255,2,4
255,2,0
253,3,5
252,4,2
254,5,3
253,6,1
253,6,1
254,7,2
254,7,2
253,9,1
253,9,1
254,10,2
254,10,2
254,12,1
254,12,1
255,13,2
254,14,1
255,15,2
254,16,3
254,16,3
254,16,3
254,19,0
255,20,1
253,21,1
254,22,2
253,23,0
254,24,1
254,25,2
254,25,2
255,28,3
255,28,3
255,28,3
255,30,2
255,31,3
255,32,1
255,33,2
254,34,2
253,36,1
254,37,2
254,37,2
253,39,2
253,41,3
254,42,2
255,43,3
253,44,3
254,45,2
254,47,3
254,47,3
254,49,2
253,51,3
253,53,2
254,54,3
254,54,3
255,56,1
254,57,2
254,57,2
254,59,1
254,61,2
253,63,1
254,64,2
254,66,2
255,67,3
253,68,1
254,69,2
254,71,1
255,72,2
